Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2011,6b,15-17,Black Hispanic,7th - 9th Month,22
2011,6b,18-19,Black Hispanic,7th - 9th Month,49
2011,6b,20-24,Black Hispanic,7th - 9th Month,137
2011,6b,25-29,Black Hispanic,7th - 9th Month,108
2011,6b,30-34,Black Hispanic,7th - 9th Month,70
2011,6b,35-39,Black Hispanic,7th - 9th Month,49
2011,6b,40-44,Black Hispanic,7th - 9th Month,6
2011,6b,45+,Black Hispanic,7th - 9th Month,1
2011,6b,N.S.,Black Hispanic,7th - 9th Month,0
2011,6b,Total,Black Hispanic,No PNC,47
2011,6b,<15,Black Hispanic,No PNC,1
2011,6b,15-17,Black Hispanic,No PNC,2
2011,6b,18-19,Black Hispanic,No PNC,6
2011,6b,20-24,Black Hispanic,No PNC,15
2011,6b,25-29,Black Hispanic,No PNC,6
2011,6b,30-34,Black Hispanic,No PNC,9
2011,6b,35-39,Black Hispanic,No PNC,7
2011,6b,40-44,Black Hispanic,No PNC,1
2011,6b,45+,Black Hispanic,No PNC,0
2011,6b,N.S.,Black Hispanic,No PNC,0
2011,6b,Total,Black Hispanic,PNC Start Unk,50
2011,6b,<15,Black Hispanic,PNC Start Unk,0
2011,6b,15-17,Black Hispanic,PNC Start Unk,2
2011,6b,18-19,Black Hispanic,PNC Start Unk,2
2011,6b,20-24,Black Hispanic,PNC Start Unk,13
2011,6b,25-29,Black Hispanic,PNC Start Unk,14
2011,6b,30-34,Black Hispanic,PNC Start Unk,10
2011,6b,35-39,Black Hispanic,PNC Start Unk,6
2011,6b,40-44,Black Hispanic,PNC Start Unk,3
2011,6b,45+,Black Hispanic,PNC Start Unk,0
2011,6b,N.S.,Black Hispanic,PNC Start Unk,0
2011,6b,Total,Black Hispanic,PNC Unk,46
2011,6b,<15,Black Hispanic,PNC Unk,0
2011,6b,15-17,Black Hispanic,PNC Unk,6
2011,6b,18-19,Black Hispanic,PNC Unk,5
2011,6b,20-24,Black Hispanic,PNC Unk,16
2011,6b,25-29,Black Hispanic,PNC Unk,12
2011,6b,30-34,Black Hispanic,PNC Unk,4
2011,6b,35-39,Black Hispanic,PNC Unk,3
2011,6b,40-44,Black Hispanic,PNC Unk,0
2011,6b,45+,Black Hispanic,PNC Unk,0
2011,6b,N.S.,Black Hispanic,PNC Unk,0
2011,6b,Total,Other Hispanic,All,"21,389"
2011,6b,<15,Other Hispanic,All,32
2011,6b,15-17,Other Hispanic,All,685
2011,6b,18-19,Other Hispanic,All,"1,433"
2011,6b,20-24,Other Hispanic,All,"5,390"
2011,6b,25-29,Other Hispanic,All,"5,951"
2011,6b,30-34,Other Hispanic,All,"4,789"
2011,6b,35-39,Other Hispanic,All,"2,440"
2011,6b,40-44,Other Hispanic,All,639
2011,6b,45+,Other Hispanic,All,30
2011,6b,N.S.,Other Hispanic,All,0
2011,6b,Total,Other Hispanic,1st - 3rd Month,"13,623"
2011,6b,<15,Other Hispanic,1st - 3rd Month,11
2011,6b,15-17,Other Hispanic,1st - 3rd Month,309
2011,6b,18-19,Other Hispanic,1st - 3rd Month,760
2011,6b,20-24,Other Hispanic,1st - 3rd Month,"3,216"
2011,6b,25-29,Other Hispanic,1st - 3rd Month,"3,920"
2011,6b,30-34,Other Hispanic,1st - 3rd Month,"3,282"
2011,6b,35-39,Other Hispanic,1st - 3rd Month,"1,667"
2011,6b,40-44,Other Hispanic,1st - 3rd Month,438
2011,6b,45+,Other Hispanic,1st - 3rd Month,20
2011,6b,N.S.,Other Hispanic,1st - 3rd Month,0
2011,6b,Total,Other Hispanic,4th - 6th Month,"5,815"
2011,6b,<15,Other Hispanic,4th - 6th Month,14
2011,6b,15-17,Other Hispanic,4th - 6th Month,267
2011,6b,18-19,Other Hispanic,4th - 6th Month,494
2011,6b,20-24,Other Hispanic,4th - 6th Month,"1,590"
2011,6b,25-29,Other Hispanic,4th - 6th Month,"1,553"
2011,6b,30-34,Other Hispanic,4th - 6th Month,"1,137"
2011,6b,35-39,Other Hispanic,4th - 6th Month,607
2011,6b,40-44,Other Hispanic,4th - 6th Month,147
2011,6b,45+,Other Hispanic,4th - 6th Month,6
2011,6b,N.S.,Other Hispanic,4th - 6th Month,0
2011,6b,Total,Other Hispanic,7th - 9th Month,"1,138"
2011,6b,<15,Other Hispanic,7th - 9th Month,4
2011,6b,15-17,Other Hispanic,7th - 9th Month,75
2011,6b,18-19,Other Hispanic,7th - 9th Month,104
2011,6b,20-24,Other Hispanic,7th - 9th Month,350
2011,6b,25-29,Other Hispanic,7th - 9th Month,274
2011,6b,30-34,Other Hispanic,7th - 9th Month,208
2011,6b,35-39,Other Hispanic,7th - 9th Month,93
2011,6b,40-44,Other Hispanic,7th - 9th Month,30
2011,6b,45+,Other Hispanic,7th - 9th Month,0
2011,6b,N.S.,Other Hispanic,7th - 9th Month,0
2011,6b,Total,Other Hispanic,No PNC,117
2011,6b,<15,Other Hispanic,No PNC,0
2011,6b,15-17,Other Hispanic,No PNC,10
2011,6b,18-19,Other Hispanic,No PNC,8
2011,6b,20-24,Other Hispanic,No PNC,36
2011,6b,25-29,Other Hispanic,No PNC,25
2011,6b,30-34,Other Hispanic,No PNC,19
2011,6b,35-39,Other Hispanic,No PNC,10
2011,6b,40-44,Other Hispanic,No PNC,9
2011,6b,45+,Other Hispanic,No PNC,0
2011,6b,N.S.,Other Hispanic,No PNC,0
2011,6b,Total,Other Hispanic,PNC Start Unk,465
2011,6b,<15,Other Hispanic,PNC Start Unk,2
2011,6b,15-17,Other Hispanic,PNC Start Unk,13
2011,6b,18-19,Other Hispanic,PNC Start Unk,41
2011,6b,20-24,Other Hispanic,PNC Start Unk,122
2011,6b,25-29,Other Hispanic,PNC Start Unk,123
2011,6b,30-34,Other Hispanic,PNC Start Unk,98
2011,6b,35-39,Other Hispanic,PNC Start Unk,50
2011,6b,40-44,Other Hispanic,PNC Start Unk,12
2011,6b,45+,Other Hispanic,PNC Start Unk,4
2011,6b,N.S.,Other Hispanic,PNC Start Unk,0
2011,6b,Total,Other Hispanic,PNC Unk,231
2011,6b,<15,Other Hispanic,PNC Unk,1
2011,6b,15-17,Other Hispanic,PNC Unk,11
2011,6b,18-19,Other Hispanic,PNC Unk,26
2011,6b,20-24,Other Hispanic,PNC Unk,76
2011,6b,25-29,Other Hispanic,PNC Unk,56
2011,6b,30-34,Other Hispanic,PNC Unk,45
2011,6b,35-39,Other Hispanic,PNC Unk,13
2011,6b,40-44,Other Hispanic,PNC Unk,3
2011,6b,45+,Other Hispanic,PNC Unk,0
2011,6b,N.S.,Other Hispanic,PNC Unk,0
2012,6b,Total,Total Births,All,"239,224"
2012,6b,<15,Total Births,All,179
2012,6b,15-17,Total Births,All,"3,500"
2012,6b,18-19,Total Births,All,"9,054"
2012,6b,20-24,Total Births,All,"45,275"
2012,6b,25-29,Total Births,All,"63,298"
2012,6b,30-34,Total Births,All,"69,056"
2012,6b,35-39,Total Births,All,"37,989"
2012,6b,40-44,Total Births,All,"10,028"
2012,6b,45+,Total Births,All,839
2012,6b,N.S.,Total Births,All,6
2012,6b,Total,Total Births,1st - 3rd Month,"171,805"
2012,6b,<15,Total Births,1st - 3rd Month,55
2012,6b,15-17,Total Births,1st - 3rd Month,"1,623"
2012,6b,18-19,Total Births,1st - 3rd Month,"5,187"
2012,6b,20-24,Total Births,1st - 3rd Month,"29,095"
2012,6b,25-29,Total Births,1st - 3rd Month,"45,836"
2012,6b,30-34,Total Births,1st - 3rd Month,"52,970"
2012,6b,35-39,Total Births,1st - 3rd Month,"29,069"
2012,6b,40-44,Total Births,1st - 3rd Month,"7,368"
2012,6b,45+,Total Births,1st - 3rd Month,602
2012,6b,N.S.,Total Births,1st - 3rd Month,0
2012,6b,Total,Total Births,4th - 6th Month,"47,953"
2012,6b,<15,Total Births,4th - 6th Month,66
2012,6b,15-17,Total Births,4th - 6th Month,"1,291"
2012,6b,18-19,Total Births,4th - 6th Month,"2,738"
2012,6b,20-24,Total Births,4th - 6th Month,"11,610"
2012,6b,25-29,Total Births,4th - 6th Month,"12,539"
2012,6b,30-34,Total Births,4th - 6th Month,"11,390"
2012,6b,35-39,Total Births,4th - 6th Month,"6,299"
2012,6b,40-44,Total Births,4th - 6th Month,"1,861"
2012,6b,45+,Total Births,4th - 6th Month,158
2012,6b,N.S.,Total Births,4th - 6th Month,1
2012,6b,Total,Total Births,7th - 9th Month,"11,439"
2012,6b,<15,Total Births,7th - 9th Month,43
2012,6b,15-17,Total Births,7th - 9th Month,423
2012,6b,18-19,Total Births,7th - 9th Month,770
2012,6b,20-24,Total Births,7th - 9th Month,"2,949"
2012,6b,25-29,Total Births,7th - 9th Month,"3,018"
2012,6b,30-34,Total Births,7th - 9th Month,"2,473"
2012,6b,35-39,Total Births,7th - 9th Month,"1,322"
2012,6b,40-44,Total Births,7th - 9th Month,410
2012,6b,45+,Total Births,7th - 9th Month,31
2012,6b,N.S.,Total Births,7th - 9th Month,0
2012,6b,Total,Total Births,No PNC,"1,514"
2012,6b,<15,Total Births,No PNC,11
2012,6b,15-17,Total Births,No PNC,81
2012,6b,18-19,Total Births,No PNC,104
2012,6b,20-24,Total Births,No PNC,437
2012,6b,25-29,Total Births,No PNC,354
2012,6b,30-34,Total Births,No PNC,304
2012,6b,35-39,Total Births,No PNC,157
2012,6b,40-44,Total Births,No PNC,60
2012,6b,45+,Total Births,No PNC,6
2012,6b,N.S.,Total Births,No PNC,0
2012,6b,Total,Total Births,PNC Start Unk,"2,151"
2012,6b,<15,Total Births,PNC Start Unk,1
2012,6b,15-17,Total Births,PNC Start Unk,12
2012,6b,18-19,Total Births,PNC Start Unk,42
2012,6b,20-24,Total Births,PNC Start Unk,231
2012,6b,25-29,Total Births,PNC Start Unk,419
2012,6b,30-34,Total Births,PNC Start Unk,744
2012,6b,35-39,Total Births,PNC Start Unk,526
2012,6b,40-44,Total Births,PNC Start Unk,153
2012,6b,45+,Total Births,PNC Start Unk,21
2012,6b,N.S.,Total Births,PNC Start Unk,2
2012,6b,Total,Total Births,PNC Unk,"4,362"
2012,6b,<15,Total Births,PNC Unk,3
2012,6b,15-17,Total Births,PNC Unk,70
2012,6b,18-19,Total Births,PNC Unk,213
2012,6b,20-24,Total Births,PNC Unk,953
2012,6b,25-29,Total Births,PNC Unk,"1,132"
2012,6b,30-34,Total Births,PNC Unk,"1,175"
2012,6b,35-39,Total Births,PNC Unk,616
2012,6b,40-44,Total Births,PNC Unk,176
2012,6b,45+,Total Births,PNC Unk,21
2012,6b,N.S.,Total Births,PNC Unk,3
2012,6b,Total,White Non-Hisp,All,"114,958"
2012,6b,<15,White Non-Hisp,All,28
2012,6b,15-17,White Non-Hisp,All,822
2012,6b,18-19,White Non-Hisp,All,"2,980"
2012,6b,20-24,White Non-Hisp,All,"18,631"
2012,6b,25-29,White Non-Hisp,All,"29,557"
2012,6b,30-34,White Non-Hisp,All,"36,985"
2012,6b,35-39,White Non-Hisp,All,"20,241"
2012,6b,40-44,White Non-Hisp,All,"5,235"
2012,6b,45+,White Non-Hisp,All,476
2012,6b,N.S.,White Non-Hisp,All,3
2012,6b,Total,White Non-Hisp,1st - 3rd Month,"89,293"
2012,6b,<15,White Non-Hisp,1st - 3rd Month,12
2012,6b,15-17,White Non-Hisp,1st - 3rd Month,431
2012,6b,18-19,White Non-Hisp,1st - 3rd Month,"1,914"
2012,6b,20-24,White Non-Hisp,1st - 3rd Month,"13,096"
2012,6b,25-29,White Non-Hisp,1st - 3rd Month,"22,944"
2012,6b,30-34,White Non-Hisp,1st - 3rd Month,"30,083"
2012,6b,35-39,White Non-Hisp,1st - 3rd Month,"16,372"
2012,6b,40-44,White Non-Hisp,1st - 3rd Month,"4,091"
2012,6b,45+,White Non-Hisp,1st - 3rd Month,350
2012,6b,N.S.,White Non-Hisp,1st - 3rd Month,0
2012,6b,Total,White Non-Hisp,4th - 6th Month,"18,724"
2012,6b,<15,White Non-Hisp,4th - 6th Month,11
2012,6b,15-17,White Non-Hisp,4th - 6th Month,288
2012,6b,18-19,White Non-Hisp,4th - 6th Month,816
2012,6b,20-24,White Non-Hisp,4th - 6th Month,"4,185"
2012,6b,25-29,White Non-Hisp,4th - 6th Month,"4,839"
2012,6b,30-34,White Non-Hisp,4th - 6th Month,"4,958"
2012,6b,35-39,White Non-Hisp,4th - 6th Month,"2,728"
2012,6b,40-44,White Non-Hisp,4th - 6th Month,819
2012,6b,45+,White Non-Hisp,4th - 6th Month,80
2012,6b,N.S.,White Non-Hisp,4th - 6th Month,0
2012,6b,Total,White Non-Hisp,7th - 9th Month,"3,099"
2012,6b,<15,White Non-Hisp,7th - 9th Month,5
2012,6b,15-17,White Non-Hisp,7th - 9th Month,76
2012,6b,18-19,White Non-Hisp,7th - 9th Month,156
2012,6b,20-24,White Non-Hisp,7th - 9th Month,814
2012,6b,25-29,White Non-Hisp,7th - 9th Month,855
2012,6b,30-34,White Non-Hisp,7th - 9th Month,697
2012,6b,35-39,White Non-Hisp,7th - 9th Month,374
2012,6b,40-44,White Non-Hisp,7th - 9th Month,112
2012,6b,45+,White Non-Hisp,7th - 9th Month,10
2012,6b,N.S.,White Non-Hisp,7th - 9th Month,0
2012,6b,Total,White Non-Hisp,No PNC,438
2012,6b,<15,White Non-Hisp,No PNC,0
2012,6b,15-17,White Non-Hisp,No PNC,12
2012,6b,18-19,White Non-Hisp,No PNC,20
2012,6b,20-24,White Non-Hisp,No PNC,117
2012,6b,25-29,White Non-Hisp,No PNC,123
2012,6b,30-34,White Non-Hisp,No PNC,84
2012,6b,35-39,White Non-Hisp,No PNC,61
2012,6b,40-44,White Non-Hisp,No PNC,20
2012,6b,45+,White Non-Hisp,No PNC,1
2012,6b,N.S.,White Non-Hisp,No PNC,0
2012,6b,Total,White Non-Hisp,PNC Start Unk,"1,305"
2012,6b,<15,White Non-Hisp,PNC Start Unk,0
2012,6b,15-17,White Non-Hisp,PNC Start Unk,2
2012,6b,18-19,White Non-Hisp,PNC Start Unk,11
2012,6b,20-24,White Non-Hisp,PNC Start Unk,92
2012,6b,25-29,White Non-Hisp,PNC Start Unk,228
2012,6b,30-34,White Non-Hisp,PNC Start Unk,486
2012,6b,35-39,White Non-Hisp,PNC Start Unk,363
2012,6b,40-44,White Non-Hisp,PNC Start Unk,102
2012,6b,45+,White Non-Hisp,PNC Start Unk,19
2012,6b,N.S.,White Non-Hisp,PNC Start Unk,2
2012,6b,Total,White Non-Hisp,PNC Unk,"2,099"
2012,6b,<15,White Non-Hisp,PNC Unk,0
2012,6b,15-17,White Non-Hisp,PNC Unk,13
2012,6b,18-19,White Non-Hisp,PNC Unk,63
2012,6b,20-24,White Non-Hisp,PNC Unk,327
2012,6b,25-29,White Non-Hisp,PNC Unk,568
2012,6b,30-34,White Non-Hisp,PNC Unk,677
2012,6b,35-39,White Non-Hisp,PNC Unk,343
2012,6b,40-44,White Non-Hisp,PNC Unk,91
2012,6b,45+,White Non-Hisp,PNC Unk,16
2012,6b,N.S.,White Non-Hisp,PNC Unk,1
2012,6b,Total,Black Non-Hisp,All,"36,905"
2012,6b,<15,Black Non-Hisp,All,56
2012,6b,15-17,Black Non-Hisp,All,882
2012,6b,18-19,Black Non-Hisp,All,"2,174"
2012,6b,20-24,Black Non-Hisp,All,"8,772"
2012,6b,25-29,Black Non-Hisp,All,"9,559"
2012,6b,30-34,Black Non-Hisp,All,"8,603"
2012,6b,35-39,Black Non-Hisp,All,"5,096"
2012,6b,40-44,Black Non-Hisp,All,"1,624"
2012,6b,45+,Black Non-Hisp,All,139
2012,6b,N.S.,Black Non-Hisp,All,0
2012,6b,Total,Black Non-Hisp,1st - 3rd Month,"23,042"
2012,6b,<15,Black Non-Hisp,1st - 3rd Month,12
2012,6b,15-17,Black Non-Hisp,1st - 3rd Month,362
2012,6b,18-19,Black Non-Hisp,1st - 3rd Month,"1,105"
2012,6b,20-24,Black Non-Hisp,1st - 3rd Month,"5,081"
2012,6b,25-29,Black Non-Hisp,1st - 3rd Month,"6,111"
2012,6b,30-34,Black Non-Hisp,1st - 3rd Month,"5,765"
2012,6b,35-39,Black Non-Hisp,1st - 3rd Month,"3,442"
2012,6b,40-44,Black Non-Hisp,1st - 3rd Month,"1,068"
2012,6b,45+,Black Non-Hisp,1st - 3rd Month,96
2012,6b,N.S.,Black Non-Hisp,1st - 3rd Month,0
2012,6b,Total,Black Non-Hisp,4th - 6th Month,"9,072"
2012,6b,<15,Black Non-Hisp,4th - 6th Month,22
2012,6b,15-17,Black Non-Hisp,4th - 6th Month,325
2012,6b,18-19,Black Non-Hisp,4th - 6th Month,712
2012,6b,20-24,Black Non-Hisp,4th - 6th Month,"2,483"
2012,6b,25-29,Black Non-Hisp,4th - 6th Month,"2,268"
2012,6b,30-34,Black Non-Hisp,4th - 6th Month,"1,775"
2012,6b,35-39,Black Non-Hisp,4th - 6th Month,"1,092"
2012,6b,40-44,Black Non-Hisp,4th - 6th Month,362
2012,6b,45+,Black Non-Hisp,4th - 6th Month,33
2012,6b,N.S.,Black Non-Hisp,4th - 6th Month,0
2012,6b,Total,Black Non-Hisp,7th - 9th Month,"3,194"
2012,6b,<15,Black Non-Hisp,7th - 9th Month,18
2012,6b,15-17,Black Non-Hisp,7th - 9th Month,133
2012,6b,18-19,Black Non-Hisp,7th - 9th Month,223
2012,6b,20-24,Black Non-Hisp,7th - 9th Month,745
2012,6b,25-29,Black Non-Hisp,7th - 9th Month,806
2012,6b,30-34,Black Non-Hisp,7th - 9th Month,739
2012,6b,35-39,Black Non-Hisp,7th - 9th Month,390
2012,6b,40-44,Black Non-Hisp,7th - 9th Month,132
2012,6b,45+,Black Non-Hisp,7th - 9th Month,8
2012,6b,N.S.,Black Non-Hisp,7th - 9th Month,0
2012,6b,Total,Black Non-Hisp,No PNC,503
2012,6b,<15,Black Non-Hisp,No PNC,4
2012,6b,15-17,Black Non-Hisp,No PNC,32
2012,6b,18-19,Black Non-Hisp,No PNC,38
2012,6b,20-24,Black Non-Hisp,No PNC,157
2012,6b,25-29,Black Non-Hisp,No PNC,105
2012,6b,30-34,Black Non-Hisp,No PNC,107
2012,6b,35-39,Black Non-Hisp,No PNC,43
2012,6b,40-44,Black Non-Hisp,No PNC,16
2012,6b,45+,Black Non-Hisp,No PNC,1
2012,6b,N.S.,Black Non-Hisp,No PNC,0
2012,6b,Total,Black Non-Hisp,PNC Start Unk,210
2012,6b,<15,Black Non-Hisp,PNC Start Unk,0
2012,6b,15-17,Black Non-Hisp,PNC Start Unk,4
2012,6b,18-19,Black Non-Hisp,PNC Start Unk,13
2012,6b,20-24,Black Non-Hisp,PNC Start Unk,41
2012,6b,25-29,Black Non-Hisp,PNC Start Unk,51
2012,6b,30-34,Black Non-Hisp,PNC Start Unk,57
2012,6b,35-39,Black Non-Hisp,PNC Start Unk,28
2012,6b,40-44,Black Non-Hisp,PNC Start Unk,15
2012,6b,45+,Black Non-Hisp,PNC Start Unk,1
2012,6b,N.S.,Black Non-Hisp,PNC Start Unk,0
2012,6b,Total,Black Non-Hisp,PNC Unk,884
2012,6b,<15,Black Non-Hisp,PNC Unk,0
2012,6b,15-17,Black Non-Hisp,PNC Unk,26
2012,6b,18-19,Black Non-Hisp,PNC Unk,83
2012,6b,20-24,Black Non-Hisp,PNC Unk,265
2012,6b,25-29,Black Non-Hisp,PNC Unk,218
2012,6b,30-34,Black Non-Hisp,PNC Unk,160
2012,6b,35-39,Black Non-Hisp,PNC Unk,101
2012,6b,40-44,Black Non-Hisp,PNC Unk,31
2012,6b,45+,Black Non-Hisp,PNC Unk,0
2012,6b,N.S.,Black Non-Hisp,PNC Unk,0
2012,6b,Total,Other Non-Hisp,All,"30,881"
2012,6b,<15,Other Non-Hisp,All,17
2012,6b,15-17,Other Non-Hisp,All,197
2012,6b,18-19,Other Non-Hisp,All,524
2012,6b,20-24,Other Non-Hisp,All,"4,073"
2012,6b,25-29,Other Non-Hisp,All,"8,915"
2012,6b,30-34,Other Non-Hisp,All,"10,208"
2012,6b,35-39,Other Non-Hisp,All,"5,542"
2012,6b,40-44,Other Non-Hisp,All,"1,296"
2012,6b,45+,Other Non-Hisp,All,108
2012,6b,N.S.,Other Non-Hisp,All,1
2012,6b,Total,Other Non-Hisp,1st - 3rd Month,"21,879"
2012,6b,<15,Other Non-Hisp,1st - 3rd Month,2
2012,6b,15-17,Other Non-Hisp,1st - 3rd Month,87
2012,6b,18-19,Other Non-Hisp,1st - 3rd Month,256
2012,6b,20-24,Other Non-Hisp,1st - 3rd Month,"2,511"
2012,6b,25-29,Other Non-Hisp,1st - 3rd Month,"6,308"
2012,6b,30-34,Other Non-Hisp,1st - 3rd Month,"7,601"
2012,6b,35-39,Other Non-Hisp,1st - 3rd Month,"4,095"
2012,6b,40-44,Other Non-Hisp,1st - 3rd Month,944
2012,6b,45+,Other Non-Hisp,1st - 3rd Month,75
2012,6b,N.S.,Other Non-Hisp,1st - 3rd Month,0
2012,6b,Total,Other Non-Hisp,4th - 6th Month,"6,652"
2012,6b,<15,Other Non-Hisp,4th - 6th Month,3
2012,6b,15-17,Other Non-Hisp,4th - 6th Month,73
2012,6b,18-19,Other Non-Hisp,4th - 6th Month,173
2012,6b,20-24,Other Non-Hisp,4th - 6th Month,"1,130"
2012,6b,25-29,Other Non-Hisp,4th - 6th Month,"1,960"
2012,6b,30-34,Other Non-Hisp,4th - 6th Month,"1,952"
2012,6b,35-39,Other Non-Hisp,4th - 6th Month,"1,079"
2012,6b,40-44,Other Non-Hisp,4th - 6th Month,259
2012,6b,45+,Other Non-Hisp,4th - 6th Month,23
2012,6b,N.S.,Other Non-Hisp,4th - 6th Month,0
2012,6b,Total,Other Non-Hisp,7th - 9th Month,"1,671"
2012,6b,<15,Other Non-Hisp,7th - 9th Month,7
2012,6b,15-17,Other Non-Hisp,7th - 9th Month,27
2012,6b,18-19,Other Non-Hisp,7th - 9th Month,74
2012,6b,20-24,Other Non-Hisp,7th - 9th Month,324
2012,6b,25-29,Other Non-Hisp,7th - 9th Month,479
2012,6b,30-34,Other Non-Hisp,7th - 9th Month,451
2012,6b,35-39,Other Non-Hisp,7th - 9th Month,238
2012,6b,40-44,Other Non-Hisp,7th - 9th Month,64
2012,6b,45+,Other Non-Hisp,7th - 9th Month,7
2012,6b,N.S.,Other Non-Hisp,7th - 9th Month,0
2012,6b,Total,Other Non-Hisp,No PNC,137
2012,6b,<15,Other Non-Hisp,No PNC,5
2012,6b,15-17,Other Non-Hisp,No PNC,4
2012,6b,18-19,Other Non-Hisp,No PNC,8
2012,6b,20-24,Other Non-Hisp,No PNC,30
2012,6b,25-29,Other Non-Hisp,No PNC,37
2012,6b,30-34,Other Non-Hisp,No PNC,32
2012,6b,35-39,Other Non-Hisp,No PNC,17
2012,6b,40-44,Other Non-Hisp,No PNC,3
2012,6b,45+,Other Non-Hisp,No PNC,1
2012,6b,N.S.,Other Non-Hisp,No PNC,0
2012,6b,Total,Other Non-Hisp,PNC Start Unk,185
2012,6b,<15,Other Non-Hisp,PNC Start Unk,0
2012,6b,15-17,Other Non-Hisp,PNC Start Unk,0
2012,6b,18-19,Other Non-Hisp,PNC Start Unk,2
2012,6b,20-24,Other Non-Hisp,PNC Start Unk,14
2012,6b,25-29,Other Non-Hisp,PNC Start Unk,33
2012,6b,30-34,Other Non-Hisp,PNC Start Unk,74
2012,6b,35-39,Other Non-Hisp,PNC Start Unk,47
2012,6b,40-44,Other Non-Hisp,PNC Start Unk,14
2012,6b,45+,Other Non-Hisp,PNC Start Unk,1
2012,6b,N.S.,Other Non-Hisp,PNC Start Unk,0
2012,6b,Total,Other Non-Hisp,PNC Unk,357
2012,6b,<15,Other Non-Hisp,PNC Unk,0
2012,6b,15-17,Other Non-Hisp,PNC Unk,6
2012,6b,18-19,Other Non-Hisp,PNC Unk,11
2012,6b,20-24,Other Non-Hisp,PNC Unk,64
2012,6b,25-29,Other Non-Hisp,PNC Unk,98
2012,6b,30-34,Other Non-Hisp,PNC Unk,98
2012,6b,35-39,Other Non-Hisp,PNC Unk,66
2012,6b,40-44,Other Non-Hisp,PNC Unk,12
2012,6b,45+,Other Non-Hisp,PNC Unk,1
2012,6b,N.S.,Other Non-Hisp,PNC Unk,1
2012,6b,Total,White Hispanic,All,"31,015"
2012,6b,<15,White Hispanic,All,44
2012,6b,15-17,White Hispanic,All,886
2012,6b,18-19,White Hispanic,All,"1,735"
2012,6b,20-24,White Hispanic,All,"7,329"
2012,6b,25-29,White Hispanic,All,"8,467"
2012,6b,30-34,White Hispanic,All,"7,477"
2012,6b,35-39,White Hispanic,All,"3,943"
2012,6b,40-44,White Hispanic,All,"1,070"
2012,6b,45+,White Hispanic,All,64
2012,6b,N.S.,White Hispanic,All,0
2012,6b,Total,White Hispanic,1st - 3rd Month,"20,933"
2012,6b,<15,White Hispanic,1st - 3rd Month,16
2012,6b,15-17,White Hispanic,1st - 3rd Month,404
2012,6b,18-19,White Hispanic,1st - 3rd Month,974
2012,6b,20-24,White Hispanic,1st - 3rd Month,"4,526"
2012,6b,25-29,White Hispanic,1st - 3rd Month,"5,851"
2012,6b,30-34,White Hispanic,1st - 3rd Month,"5,450"
2012,6b,35-39,White Hispanic,1st - 3rd Month,"2,921"
2012,6b,40-44,White Hispanic,1st - 3rd Month,748
2012,6b,45+,White Hispanic,1st - 3rd Month,43
2012,6b,N.S.,White Hispanic,1st - 3rd Month,0
2012,6b,Total,White Hispanic,4th - 6th Month,"7,213"
2012,6b,<15,White Hispanic,4th - 6th Month,16
2012,6b,15-17,White Hispanic,4th - 6th Month,343
2012,6b,18-19,White Hispanic,4th - 6th Month,542
2012,6b,20-24,White Hispanic,4th - 6th Month,"1,985"
2012,6b,25-29,White Hispanic,4th - 6th Month,"1,902"
2012,6b,30-34,White Hispanic,4th - 6th Month,"1,453"
2012,6b,35-39,White Hispanic,4th - 6th Month,739
2012,6b,40-44,White Hispanic,4th - 6th Month,220
2012,6b,45+,White Hispanic,4th - 6th Month,13
2012,6b,N.S.,White Hispanic,4th - 6th Month,0
2012,6b,Total,White Hispanic,7th - 9th Month,"1,899"
2012,6b,<15,White Hispanic,7th - 9th Month,9
2012,6b,15-17,White Hispanic,7th - 9th Month,97
2012,6b,18-19,White Hispanic,7th - 9th Month,155
2012,6b,20-24,White Hispanic,7th - 9th Month,566
2012,6b,25-29,White Hispanic,7th - 9th Month,505
2012,6b,30-34,White Hispanic,7th - 9th Month,345
2012,6b,35-39,White Hispanic,7th - 9th Month,165
2012,6b,40-44,White Hispanic,7th - 9th Month,54
2012,6b,45+,White Hispanic,7th - 9th Month,3
2012,6b,N.S.,White Hispanic,7th - 9th Month,0
2012,6b,Total,White Hispanic,No PNC,285
2012,6b,<15,White Hispanic,No PNC,0
2012,6b,15-17,White Hispanic,No PNC,22
2012,6b,18-19,White Hispanic,No PNC,25
2012,6b,20-24,White Hispanic,No PNC,88
2012,6b,25-29,White Hispanic,No PNC,54
2012,6b,30-34,White Hispanic,No PNC,55
2012,6b,35-39,White Hispanic,No PNC,23
2012,6b,40-44,White Hispanic,No PNC,15
2012,6b,45+,White Hispanic,No PNC,3
2012,6b,N.S.,White Hispanic,No PNC,0
2012,6b,Total,White Hispanic,PNC Start Unk,187
2012,6b,<15,White Hispanic,PNC Start Unk,1
2012,6b,15-17,White Hispanic,PNC Start Unk,2
2012,6b,18-19,White Hispanic,PNC Start Unk,9
2012,6b,20-24,White Hispanic,PNC Start Unk,31
2012,6b,25-29,White Hispanic,PNC Start Unk,49
2012,6b,30-34,White Hispanic,PNC Start Unk,43
2012,6b,35-39,White Hispanic,PNC Start Unk,42
2012,6b,40-44,White Hispanic,PNC Start Unk,10
2012,6b,45+,White Hispanic,PNC Start Unk,0
