"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
"Total"	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			Suppressed
"Total"	"Chautauqua County, NY"	"36013"	"Asian"	"A"					Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			Suppressed
"Total"	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"					Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	13
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			29
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	13
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	34
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	41
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	25
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			126
"Total"	"Chautauqua County, NY"	"36013"	"White"	"2106-3"					155
"Total"	"Chautauqua County, NY"	"36013"							163
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			11
"Total"	"Dutchess County, NY"	"36027"	"Asian"	"A"					11
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			14
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	13
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	17
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	14
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	13
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			66
"Total"	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"					80
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	12
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	10
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	12
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			42
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	15
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	37
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	43
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	20
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			123
"Total"	"Dutchess County, NY"	"36027"	"White"	"2106-3"					165
"Total"	"Dutchess County, NY"	"36027"							256
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	22
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	23
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	38
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	24
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			118
"Total"	"Erie County, NY"	"36029"	"Asian"	"A"					118
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	11
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			30
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	50
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	140
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	118
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	79
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	42
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			439
"Total"	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"					469
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	29
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	17
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	17
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	13
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			85
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	10
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	85
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	161
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	201
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	107
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	30
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			595
"Total"	"Erie County, NY"	"36029"	"White"	"2106-3"					680
"Total"	"Erie County, NY"	"36029"							1267
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			Suppressed
